电影标题,评分
肖申克的救赎,9.7
霸王别姬,9.6
泰坦尼克号,9.5
阿甘正传,9.5
千与千寻,9.4
美丽人生,9.5
星际穿越,9.4
这个杀手不太冷,9.4
盗梦空间,9.4
楚门的世界,9.4
辛德勒的名单,9.5
忠犬八公的故事,9.4
海上钢琴师,9.3
疯狂动物城,9.3
三傻大闹宝莱坞,9.2
机器人总动员,9.3
放牛班的春天,9.3
无间道,9.3
控方证人,9.6
寻梦环游记,9.1
大话西游之大圣娶亲,9.2
熔炉,9.3
触不可及,9.3
教父,9.3
末代皇帝,9.3
哈利·波特与魔法石,9.2
当幸福来敲门,9.1
龙猫,9.2
活着,9.3
怦然心动,9.1
蝙蝠侠：黑暗骑士,9.2
指环王3：王者无敌,9.3
我不是药神,9.0
乱世佳人,9.3
让子弹飞,9.0
飞屋环游记,9.1
哈尔的移动城堡,9.1
十二怒汉,9.4
海蒂和爷爷,9.3
素媛,9.3
猫鼠游戏,9.1
天空之城,9.2
鬼子来了,9.3
摔跤吧！爸爸,9.0
少年派的奇幻漂流,9.1
钢琴家,9.3
死亡诗社,9.2
指环王2：双塔奇兵,9.2
大话西游之月光宝盒,9.0
绿皮书,8.9
何以为家,9.1
闻香识女人,9.1
大闹天宫,9.4
黑客帝国,9.1
指环王1：护戒使者,9.1
罗马假日,9.1
教父2,9.3
狮子王,9.1
天堂电影院,9.2
饮食男女,9.2
辩护人,9.2
本杰明·巴顿奇事,9.0
搏击俱乐部,9.0
美丽心灵,9.1
穿条纹睡衣的男孩,9.2
哈利·波特与死亡圣器(下),9.0
情书,8.9
两杆大烟枪,9.1
窃听风暴,9.2
功夫,8.9
音乐之声,9.1
哈利·波特与阿兹卡班的囚徒,9.0
阿凡达,8.8
西西里的美丽传说,8.9
看不见的客人,8.8
